Algorithm,Operation,File,Size,Time (ms)
static,encode,colors.png,3665697,2375
static,decode,colors.png,3665697,1378
static,encode,rockefeller.tiff,18896532,11780
static,decode,rockefeller.tiff,18896532,7364
static,encode,alice.txt,74703,51
static,decode,alice.txt,74703,24
static,encode,lipsum.txt,93609,27
static,decode,lipsum.txt,93609,28
static,encode,dracula.txt,883160,323
static,decode,dracula.txt,883160,214
static,encode,cat.jpg,41040,34
static,decode,cat.jpg,41040,24
static,encode,beowulf.txt,301063,126
static,decode,beowulf.txt,301063,77
static,encode,moby.txt,1276800,475
static,decode,moby.txt,1276800,312
static,encode,shakespeare.txt,5458199,1812
static,decode,shakespeare.txt,5458199,1302
static,encode,lena.tiff,786572,505
static,decode,lena.tiff,786572,320
adaptive,encode,colors.png,3665697,4708
adaptive,decode,colors.png,3665697,5294
adaptive,encode,rockefeller.tiff,18896532,28828
adaptive,decode,rockefeller.tiff,18896532,31529
adaptive,encode,alice.txt,74703,32
adaptive,decode,alice.txt,74703,43
adaptive,encode,lipsum.txt,93609,35
adaptive,decode,lipsum.txt,93609,45
adaptive,encode,dracula.txt,883160,295
adaptive,decode,dracula.txt,883160,420
adaptive,encode,cat.jpg,41040,76
adaptive,decode,cat.jpg,41040,86
adaptive,encode,beowulf.txt,301063,135
adaptive,decode,beowulf.txt,301063,164
adaptive,encode,moby.txt,1276800,425
adaptive,decode,moby.txt,1276800,608
adaptive,encode,shakespeare.txt,5458199,1897
adaptive,decode,shakespeare.txt,5458199,2649
adaptive,encode,lena.tiff,786572,1074
adaptive,decode,lena.tiff,786572,1224
sliding,encode,colors.png,3665697,263802
sliding,decode,colors.png,3665697,262811
sliding,encode,rockefeller.tiff,18896532,1547418
sliding,decode,rockefeller.tiff,18896532,1553203
sliding,encode,alice.txt,74703,362
sliding,decode,alice.txt,74703,377
sliding,encode,lipsum.txt,93609,266
sliding,decode,lipsum.txt,93609,283
sliding,encode,dracula.txt,883160,3606
sliding,decode,dracula.txt,883160,3798
sliding,encode,cat.jpg,41040,3904
sliding,decode,cat.jpg,41040,3923
sliding,encode,beowulf.txt,301063,1628
sliding,decode,beowulf.txt,301063,1687
sliding,encode,moby.txt,1276800,5524
sliding,decode,moby.txt,1276800,5730
sliding,encode,shakespeare.txt,5458199,28865
sliding,decode,shakespeare.txt,5458199,30043
sliding,encode,lena.tiff,786572,52042
sliding,decode,lena.tiff,786572,52344
two_pass,encode,colors.png,3665697,80369
two_pass,decode,colors.png,3665697,79406
two_pass,encode,rockefeller.tiff,18896532,419781
two_pass,decode,rockefeller.tiff,18896532,415408
two_pass,encode,alice.txt,74703,417
two_pass,decode,alice.txt,74703,396
two_pass,encode,lipsum.txt,93609,321
two_pass,decode,lipsum.txt,93609,317
two_pass,encode,dracula.txt,883160,5376
two_pass,decode,dracula.txt,883160,5272
two_pass,encode,cat.jpg,41040,1524
two_pass,decode,cat.jpg,41040,1509
two_pass,encode,beowulf.txt,301063,2025
two_pass,decode,beowulf.txt,301063,1995
two_pass,encode,moby.txt,1276800,7519
two_pass,decode,moby.txt,1276800,7296
two_pass,encode,shakespeare.txt,5458199,29642
two_pass,decode,shakespeare.txt,5458199,29134
two_pass,encode,lena.tiff,786572,18269
two_pass,decode,lena.tiff,786572,18031
block,encode,colors.png,3665697,4998
block,decode,colors.png,3665697,5463
block,encode,rockefeller.tiff,18896532,28685
block,decode,rockefeller.tiff,18896532,31095
block,encode,alice.txt,74703,49
block,decode,alice.txt,74703,56
block,encode,lipsum.txt,93609,51
block,decode,lipsum.txt,93609,69
block,encode,dracula.txt,883160,493
block,decode,dracula.txt,883160,590
block,encode,cat.jpg,41040,74
block,decode,cat.jpg,41040,86
block,encode,beowulf.txt,301063,181
block,decode,beowulf.txt,301063,213
block,encode,moby.txt,1276800,752
block,decode,moby.txt,1276800,866
block,encode,shakespeare.txt,5458199,3203
block,decode,shakespeare.txt,5458199,3725
block,encode,lena.tiff,786572,1022
block,decode,lena.tiff,786572,1139
