size,type,Time (ms),Ratio
16,binair,442326438612,1.02768593679453
16,tekst,2536524503,1.72857459550359
16,binair,15881583,0.975238819447745
16,tekst,350343,1.67770117007658
16,tekst,271271,1.86138397295685
16,binair,1942019287,1.02666607495738
16,tekst,17331681,1.71967213114754
16,binair,8571785202,1.07458708084782
16,tekst,46234481,1.75383967685947
16,tekst,64466240,1.72853545609617
128,binair,446186443596,1.02768593679453
128,tekst,2528524706,1.72857459550359
128,binair,15931605,0.975238819447745
128,tekst,349344,1.67770117007658
128,tekst,269267,1.86138397295685
128,binair,1942119288,1.02666607495738
128,tekst,17481678,1.71967213114754
128,binair,8522184934,1.07458708084782
128,tekst,46034483,1.75383967685947
128,tekst,64306213,1.72853545609617
512,binair,446083441743,1.02768593679453
512,tekst,2540624674,1.72857459550359
512,binair,16041595,0.975238819447745
512,tekst,359343,1.67770117007658
512,tekst,270268,1.86138397295685
512,binair,1935519306,1.02666607495738
512,tekst,17371681,1.71967213114754
512,binair,8574984761,1.07458708084782
512,tekst,46524484,1.75383967685947
512,tekst,64466204,1.72853545609617
1024,binair,446595444286,1.02768593679453
1024,tekst,2539424579,1.72857459550359
1024,binair,15961594,0.975238819447745
1024,tekst,349341,1.67770117007658
1024,tekst,269268,1.86138397295685
1024,binair,1941719274,1.02666607495738
1024,tekst,17391681,1.71967213114754
1024,binair,8533884916,1.07458708084782
1024,tekst,46394517,1.75383967685947
1024,tekst,64416235,1.72853545609617
2048,binair,444833442260,1.02768593679453
2048,tekst,2543424626,1.72857459550359
2048,binair,15901590,0.975238819447745
2048,tekst,350342,1.67770117007658
2048,tekst,270267,1.86138397295685
2048,binair,1928719321,1.02666607495738
2048,tekst,17381694,1.71967213114754
2048,binair,8509684677,1.07458708084782
2048,tekst,46084464,1.75383967685947
2048,tekst,64616234,1.72853545609617
8192,binair,447161442097,1.02768593679453
8192,tekst,2540224634,1.72857459550359
8192,binair,16031592,0.975238819447745
8192,tekst,350342,1.67770117007658
8192,tekst,270268,1.86138397295685
8192,binair,1938219292,1.02666607495738
8192,tekst,17291689,1.71967213114754
8192,binair,8506284986,1.07458708084782
8192,tekst,46324479,1.75383967685947
8192,tekst,63946193,1.72853545609617
16384,binair,445394441981,1.02768593679453
16384,tekst,2545524627,1.72857459550359
16384,binair,15931587,0.975238819447745
16384,tekst,350341,1.67770117007658
16384,tekst,277268,1.86138397295685
16384,binair,1935519320,1.02666607495738
16384,tekst,17461685,1.71967213114754
16384,binair,8542285070,1.07458708084782
16384,tekst,46354481,1.75383967685947
16384,tekst,64386236,1.72853545609617
32768,binair,445592441427,1.02768593679453
32768,tekst,2538424659,1.72857459550359
32768,binair,15901591,0.975238819447745
32768,tekst,350342,1.67770117007658
32768,tekst,271267,1.86138397295685
32768,binair,1945219226,1.02666607495738
32768,tekst,17381683,1.71967213114754
32768,binair,8532785096,1.07458708084782
32768,tekst,46354501,1.75383967685947
32768,tekst,64576215,1.72853545609617
